Player,2008-2009
,Player,"
							2008/09						","
							2008/09(*)						"
"
						1.
					","

								Kevin Garnett							
","
							$24,751,934						","
							$29,161,503						"
"
						2.
					","

								Jason Kidd							
","
							$21,372,000						","
							$25,179,432						"
"
						2.
					","

								Jermaine O'Neal							
","
							$21,372,000						","
							$25,179,432						"
"
						4.
					","

								Kobe Bryant							
","
							$21,262,500						","
							$25,050,424						"
"
						5.
					","

								Shaquille O'Neal							
","
							$21,000,000						","
							$24,741,160						"
"
						6.
					","

								Allen Iverson							
","
							$20,840,625						","
							$24,553,392						"
"
						6.
					","

								Stephon Marbury							
","
							$20,840,625						","
							$24,553,392						"
"
						8.
					","

								Tim Duncan							
","
							$20,598,704						","
							$24,268,373						"
"
						9.
					","

								Tracy McGrady							
","
							$20,370,437						","
							$23,999,440						"
"
						10.
					","

								Steve Francis							
","
							$19,816,550						","
							$23,346,877						"
"
						11.
					","

								Ray Allen							
","
							$18,388,430						","
							$21,664,337						"
"
						12.
					","

								Dirk Nowitzki							
","
							$18,077,904						","
							$21,298,491						"
"
						13.
					","

								Paul Pierce							
","
							$18,077,903						","
							$21,298,490						"
"
						14.
					","

								Shawn Marion							
","
							$17,810,000						","
							$20,982,860						"
"
						15.
					","

								Rashard Lewis							
","
							$16,447,871						","
							$19,378,067						"
"
						16.
					","

								Michael Redd							
","
							$15,780,000						","
							$18,591,214						"
"
						17.
					","

								Pau Gasol							
","
							$15,106,000						","
							$17,797,141						"
"
						17.
					","

								Andrei Kirilenko							
","
							$15,106,000						","
							$17,797,141						"
"
						19.
					","

								Yao Ming							
","
							$15,070,550						","
							$17,755,375						"
"
						19.
					","

								Amare Stoudemire							
","
							$15,070,550						","
							$17,755,375						"
"
						21.
					","

								Mike Bibby							
","
							$14,983,603						","
							$17,652,939						"
"
						22.
					","

								Vince Carter							
","
							$14,724,125						","
							$17,347,235						"
"
						23.
					","

								Zach Randolph							
","
							$14,666,667						","
							$17,279,540						"
"
						24.
					","

								Gilbert Arenas							
","
							$14,653,466						","
							$17,263,988						"
"
						25.
					","

								Ben Wallace							
","
							$14,500,000						","
							$17,083,182						"
"
						26.
					","

								Kenyon Martin							
","
							$14,431,816						","
							$17,002,851						"
"
						27.
					","

								LeBron James							
","
							$14,410,581						","
							$16,977,833						"
"
						27.
					","

								Carmelo Anthony							
","
							$14,410,581						","
							$16,977,833						"
"
						27.
					","

								Dwyane Wade							
","
							$14,410,581						","
							$16,977,833						"
"
						27.
					","

								Chris Bosh							
","
							$14,410,581						","
							$16,977,833						"
"
						31.
					","

								Joe Johnson							
","
							$14,232,567						","
							$16,768,105						"
"
						32.
					","

								Lamar Odom							
","
							$14,148,596						","
							$16,669,175						"
"
						33.
					","

								Rasheed Wallace							
","
							$13,930,000						","
							$16,411,636						"
"
						34.
					","

								Wally Szczerbiak							
","
							$13,775,000						","
							$16,229,023						"
"
						35.
					","

								Dwight Howard							
","
							$13,758,000						","
							$16,208,994						"
"
						36.
					","

								Elton Brand							
","
							$13,757,844						","
							$16,208,810						"
"
						37.
					","

								Richard Jefferson							
","
							$13,200,000						","
							$15,551,586						"
"
						38.
					","

								Larry Hughes							
","
							$12,827,676						","
							$15,112,932						"
"
						39.
					","

								Raef LaFrentz							
","
							$12,722,500						","
							$14,989,019						"
"
						40.
					","

								Jason Richardson							
","
							$12,664,335						","
							$14,920,491						"
