Player,2021/2022
,Player,"
							2021/22						","
							2022/23						","
							2023/24						","
							2024/25						","
							2025/26						","
							2026/27						"
"
						1.
					","

								Stephen Curry							
","
							$45,780,966						","
							$48,070,014						","
							$51,915,615						","
							$55,761,217						","
							$59,606,817						","
							$0						"
"
						2.
					","

								James Harden							
","
							$44,310,840						","
							$47,366,760						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						2.
					","

								John Wall							
","
							$44,310,840						","
							$47,366,760						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						4.
					","

								Russell Westbrook							
","
							$44,211,146						","
							$47,063,478						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						5.
					","

								LeBron James							
","
							$41,180,544						","
							$44,474,988						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						6.
					","

								Kevin Durant							
","
							$40,918,900						","
							$44,119,845						","
							$47,649,433						","
							$51,179,020						","
							$54,708,608						","
							$0						"
"
						7.
					","

								Paul George							
","
							$39,344,970						","
							$42,492,568						","
							$45,640,165						","
							$48,787,763						","
							$0						","
							$0						"
"
						8.
					","

								Kawhi Leonard							
","
							$39,344,900						","
							$42,492,492						","
							$45,640,084						","
							$48,787,676						","
							$0						","
							$0						"
"
						8.
					","

								Giannis Antetokounmpo							
","
							$39,344,900						","
							$42,492,492						","
							$45,640,084						","
							$48,787,676						","
							$51,935,268						","
							$0						"
"
						8.
					","

								Damian Lillard							
","
							$39,344,900						","
							$42,492,492						","
							$45,640,084						","
							$48,787,676						","
							$0						","
							$0						"
"
						11.
					","

								Klay Thompson							
","
							$37,980,720						","
							$40,600,080						","
							$43,219,440						","
							$0						","
							$0						","
							$0						"
"
						12.
					","

								Jimmy Butler							
","
							$36,016,200						","
							$37,653,300						","
							$45,183,960						","
							$48,798,677						","
							$52,413,394						","
							$0						"
"
						13.
					","

								Tobias Harris							
","
							$35,995,950						","
							$37,633,050						","
							$39,270,150						","
							$0						","
							$0						","
							$0						"
"
						14.
					","

								Khris Middleton							
","
							$35,500,000						","
							$37,984,276						","
							$40,396,552						","
							$0						","
							$0						","
							$0						"
"
						15.
					","

								Anthony Davis							
","
							$35,361,360						","
							$37,980,720						","
							$40,600,080						","
							$43,219,440						","
							$0						","
							$0						"
"
						16.
					","

								Kyrie Irving							
","
							$35,053,700						","
							$36,647,050						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						17.
					","

								Kemba Walker							
","
							$34,967,442						","
							$36,596,549						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						18.
					","

								Rudy Gobert							
","
							$34,844,000						","
							$37,631,520						","
							$40,419,040						","
							$43,206,560						","
							$45,994,080						","
							$0						"
"
						19.
					","

								Bradley Beal							
","
							$33,724,200						","
							$36,422,136						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						20.
					","

								Ben Simmons							
","
							$33,003,936						","
							$35,448,672						","
							$37,893,408						","
							$40,338,144						","
							$0						","
							$0						"
"
						20.
					","

								Pascal Siakam							
","
							$33,003,936						","
							$35,448,672						","
							$37,893,408						","
							$0						","
							$0						","
							$0						"
"
						22.
					","

								Jrue Holiday							
","
							$32,431,333						","
							$35,025,840						","
							$37,620,347						","
							$40,214,853						","
							$0						","
							$0						"
"
						23.
					","

								Blake Griffin							
","
							$32,405,817						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						24.
					","

								Kristaps Porzingis							
","
							$31,650,600						","
							$33,833,400						","
							$36,016,200						","
							$0						","
							$0						","
							$0						"
